symbol,from_address,status
rUSD,0x09d4214c03d01f49544c0448dbe3a27f768f2b34,USD_alias_via_stable
rsETH,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,USD_alias_via_stable
rstETH,0x7a4effd87c2f3c55ca251080b1343b605f327e3a,USD_alias_via_stable
s-USDC-USDT-Sa,0xac4e8d8b3a48c3451d4d0e4a84e6e5ac52579d05,USD_alias_via_stable
s-USDC-WETH-Sa,0x4342b77fe3417bcb09d0a4383301b0dc733c755b,USD_alias_via_stable
s-WETH-USDT-Sa,0x315a892a4d02c5c1169d5f0e4f7cb4130cc0d138,USD_alias_via_stable
s-wstETH-WETH-Sa,0xf5ca5a74c6f9fc23880865d8702eaeda6e1f38b1,USD_alias_via_stable
sBOLD,0x50bd66d59911f5e086ec87ae43c811e0d059dd11,USD_alias_via_stable
sBUIDL,0x07a36c630e3f072637da3445da733b29958d8cab,USD_alias_via_stable
sDAI,0x83f20f44975d03b1b09e64809b757c47f942beea,USD_alias_via_stable
sDOLA,0xb45ad160634c528cc3d2926d9807104fa3157305,USD_alias_via_stable
sUSDS,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,USD_alias_via_stable
sUSDaf,0x89e93172aef8261db8437b90c3dcb61545a05317,USD_alias_via_stable
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,USD_alias_via_stable
sUSDf,0xc8cf6d7991f15525488b2a83df53468d682ba4b0,USD_alias_via_stable
sUSN,0xe24a3dc889621612422a64e6388927901608b91d,USD_alias_via_stable
sUSP,0x271c616157e69a43b4977412a64183cf110edf16,USD_alias_via_stable
sfrxUSD,0xcf62f905562626cfcdd2261162a51fd02fc9c5b6,USD_alias_via_stable
siUSD,0xdbdc1ef57537e34680b898e1febd3d68c7389bcb,USD_alias_via_stable
slvlUSD,0x4737d9b4592b40d51e110b94c9c043c6654067ae,USD_alias_via_stable
srUSD,0x738d1115b90efa71ae468f1287fc864775e23a31,USD_alias_via_stable
srUSDe,0x3d7d6fdf07ee548b939a80edbc9b2256d0cdc003,USD_alias_via_stable
stUSD,0x0022228a2cc5e7ef0274a7baa600d44da5ab5776,USD_alias_via_stable
stcUSD,0x88887be419578051ff9f4eb6c858a951921d8888,USD_alias_via_stable
steakLRT,0xbeef69ac7870777598a04b2bd4771c71212e6abc,USD_alias_via_stable
syrupUSDC,0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,USD_alias_via_stable
tBTC,0x18084fba666a33d37592fa2633fd49a74dd93a88,USD_alias_via_stable
tETH,0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,USD_alias_via_stable
tacBTC,0x6bf340db729d82af1f6443a0ea0d79647b1c3ddf,USD_alias_via_stable
tacETH,0x294eecec65a0142e84aedfd8eb2fbea8c9a9fbad,USD_alias_via_stable
tacUSD,0x699e04f98de2fc395a7dcbf36b48ec837a976490,USD_alias_via_stable
uniBTC,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,USD_alias_via_stable
wM,0x437cc33344a0b27a429f795ff6b469c72698b291,USD_alias_via_stable
wOETH,0xdcee70654261af21c44c093c300ed3bb97b78192,USD_alias_via_stable
weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,USD_alias_via_stable
wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,USD_alias_via_stable
wstUSR,0x1202f5c7b4b9e47a1a484e8b270be34dbbc75055,USD_alias_via_stable
xBTC,0x12fd502e2052cafb41eccc5b596023d9978057d6,USD_alias_via_stable
xETH,0x7e586fbaf3084c0be7ab5c82c04ffd7592723153,USD_alias_via_stable
xUSD,0xe2fc85bfb48c4cf147921fbe110cf92ef9f26f94,USD_alias_via_stable
yUSD,0x19ebd191f7a24ece672ba13a302212b5ef7f35cb,USD_alias_via_stable
ynETH,0x09db87a538bd693e9d08544577d5ccfaa6373a48,USD_alias_via_stable
ynETHx,0x657d9aba1dbb59e53f9f3ecaa878447dcfc96dcb,USD_alias_via_stable
ynUSDx,0x3db228fe836d99ccb25ec4dfdc80ed6d2cddcb4b,USD_alias_via_stable
