asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.25,Agent,ltv_targeted,-0.10,86394275.75236127,86394275.75236127,60,2929990.6142431106,133282.34773695192,1.7144607687028346
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.225,Agent,ltv_targeted,-0.10,89580453.77106628,89580453.77106628,53,2462644.5255099894,74562.60181098341,2.345873710841237
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.2,Agent,ltv_targeted,-0.10,92825906.43181854,92825906.43181854,42,1981258.4325976493,45578.33888570846,2.21525382013726
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.175,Agent,ltv_targeted,-0.10,96844656.01416747,96844656.01416747,28,795608.8346547163,22530.780263056884,2.4431246209577324
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.15,Agent,ltv_targeted,-0.10,100147906.54205889,100147906.54205889,20,393571.14140579087,6340.492272700478,4.9821364329334275
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.125,Agent,ltv_targeted,-0.10,103201171.75239219,103201171.75239219,14,304749.5944670481,1889.4963989244354,7.501006147626416
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.1,Agent,ltv_targeted,-0.10,106445872.65486391,106445872.65486391,9,96504.18995992703,396.7868238917069,5.069246218057816
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.075,Agent,ltv_targeted,-0.10,109634588.04613712,109634588.04613712,6,18096.516144721078,21.978624154634623,42.436055008711314
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.05,Agent,ltv_targeted,-0.10,112820361.50242946,112820361.50242946,4,17227.56823917113,20.50036434060342,3.210981808444155
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.025,Agent,ltv_targeted,-0.10,116096998.61347492,116096998.61347492,2,465.20636331585797,18.902190430430238,1.0917868691627695
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.4,Agent,ltv_targeted,-0.10,84884405.46027344,84884405.46027344,33,9840164.699461337,43455.32250602763,8.115860942690851
